date;open;high;low;close;adj close;volume
2/3/2023;91410004;92230003;90389999;92129997;92129997;55509400
1/3/2023;93870003;94680000;91589996;92169998;92169998;52299500
28/2/2023;93139999;94690002;92919998;94230003;94230003;43959300
27/2/2023;94279999;94779999;93139999;93760002;93760002;47470300
24/2/2023;93529999;94139999;92320000;93500000;93500000;57053800
23/2/2023;96120003;96430000;93669998;95820000;95820000;48467000
22/2/2023;95099998;97010002;94800003;95790001;95790001;59534100
21/2/2023;95339996;95610001;94269997;94580002;94580002;56580400
17/2/2023;97800003;97940002;95650002;97199997;97199997;60029400
16/2/2023;99209999;100629997;98099998;98150002;98150002;56339200
15/2/2023;99089996;101169998;98449997;101160004;101160004;47957600
14/2/2023;98410004;100919998;97519997;99699997;99699997;56202900
13/2/2023;97849998;99680000;96910004;99540001;99540001;52841500
10/2/2023;97559998;98820000;96230003;97610001;97610001;52740100
9/2/2023;101320000;101779999;97570000;98239998;98239998;64622500
8/2/2023;102040001;102669998;98779999;100050003;100050003;75878300
7/2/2023;101169998;102410004;98080002;102110001;102110001;119501300
6/2/2023;102930000;103949997;100650002;102180000;102180000;81945200
3/2/2023;105260002;108779999;102519997;103389999;103389999;144374800
2/2/2023;110250000;114000000;108879997;112910004;112910004;158154200
1/2/2023;102529999;106239998;101239998;105150002;105150002;80450100
31/1/2023;101160004;103349998;101139999;103129997;103129997;66527300
30/1/2023;101089996;101739998;99010002;100550003;100550003;70691900
27/1/2023;99529999;103489998;99529999;102239998;102239998;87775600
26/1/2023;98239998;99489998;96919998;99220001;99220001;68523600
25/1/2023;92559998;97239998;91519997;97180000;97180000;94261600
24/1/2023;96930000;98089996;96000000;96320000;96320000;66929500
23/1/2023;97559998;97779999;95860001;97519997;97519997;76501100
20/1/2023;93860001;97349998;93199997;97250000;97250000;67481500
19/1/2023;94739998;95440002;92860001;93680000;93680000;69002700
18/1/2023;97250000;99320000;95379997;95459999;95459999;79570400
17/1/2023;98680000;98889999;95730003;96050003;96050003;72755000
13/1/2023;94180000;98370003;94120003;98120003;98120003;85549400
12/1/2023;96930000;97190002;93500000;95269997;95269997;85254800
11/1/2023;90930000;95260002;90930000;95089996;95089996;103126200
10/1/2023;87570000;90190002;87290001;89870003;89870003;67756600
9/1/2023;87459999;89480003;87080002;87360001;87360001;65266100
6/1/2023;83029999;86400002;81430000;86080002;86080002;83303400
5/1/2023;85330002;85419998;83070000;83120003;83120003;67930800
4/1/2023;86550003;86980003;83360001;85139999;85139999;68885100
3/1/2023;85459999;86959999;84209999;85820000;85820000;76706000
30/12/2022;83120003;84050003;82470001;84000000;84000000;62401200
29/12/2022;82870003;84550003;82550003;84180000;84180000;54995900
28/12/2022;82800003;83480003;81690002;81820000;81820000;58228600
